date,open,high,low,close
2016/4/28,17438.99,17572.27,16652.74,16666.05
2016/4/27,17369.68,17417.54,17230.23,17290.49
2016/4/26,17358.56,17426.02,17200.5,17353.28
2016/4/25,17613.56,17613.56,17403.87,17439.3
2016/4/22,17220.47,17572.49,17192.39,17572.49
2016/4/21,17187.27,17381.7,17144.53,17363.62
2016/4/20,17053.83,17099.36,16870.73,16906.54
2016/4/19,16582.66,16900.33,16570.5,16874.44
2016/4/18,16521.25,16526.9,16254.2,16275.95
2016/4/15,16720.39,16928.67,16720.39,16848.03
2016/4/14,16629.83,16911.05,16602.17,16911.05
2016/4/13,16142.71,16405.59,16132.23,16381.22
2016/4/12,15719.24,15963.03,15693.61,15928.79
2016/4/11,15761.57,15778.74,15525.49,15751.13
2016/4/8,15597.04,16027.63,15471.8,15821.52
2016/4/7,15739.26,15871.1,15636.21,15749.84
2016/4/6,15727.7,15828.61,15612.91,15715.36
2016/4/5,16044.23,16066.18,15698.55,15732.82
2016/4/4,16087.76,16238.51,16029.5,16123.27
2016/4/1,16719.56,16719.56,16113.01,16164.16
2016/3/31,16997.14,17033.65,16758.67,16758.67
2016/3/30,17078.03,17078.03,16875.91,16878.96
2016/3/29,16985.28,17137.2,16948.43,17103.53
2016/3/28,17129.27,17167.88,16961.41,17134.37
2016/3/25,16949.53,17026.14,16889.4,17002.75
2016/3/24,16979.39,17041.16,16843.99,16892.33
2016/3/23,17066.27,17142.08,16964.31,17000.98
2016/3/22,16937.31,17107.8,16851.21,17048.55
2016/3/18,16883.75,16920.91,16613.69,16724.81
2016/3/17,17107.6,17253.03,16814.84,16936.38
2016/3/16,16981.36,17102.45,16950.84,16974.45
2016/3/15,17219.89,17279.3,17042.56,17117.07
2016/3/14,17155.52,17291.35,17149.21,17233.75
2016/3/11,16610.18,17015.3,16575.75,16938.87
2016/3/10,16811,16887.6,16713.13,16852.35
2016/3/9,16625.59,16706.25,16494.8,16642.2
2016/3/8,16889.48,16909.79,16570.22,16783.15
2016/3/7,17024.64,17026.25,16894.58,16911.32
2016/3/4,16927.36,17042.92,16861.38,17014.78
2016/3/3,16695.78,16962.95,16691.94,16960.16
2016/3/2,16391.48,16815.25,16388.92,16746.55
2016/3/1,16013,16099.42,15857.37,16085.51
2016/2/29,16313.31,16464.75,16026.76,16026.76
2016/2/26,16311.52,16472.5,16188.41,16188.41
2016/2/25,15983.47,16218.29,15953.93,16140.34
2016/2/24,15851.13,16006.45,15753.77,15915.79
2016/2/23,16230.38,16350.38,16001.19,16052.05
2016/2/22,15851.39,16187.4,15816.83,16111.05
2016/2/19,16050.4,16050.46,15799.35,15967.17
2016/2/18,16138.08,16337.59,16118.8,16196.8
2016/2/17,16035.35,16214.46,15632.12,15836.36
